iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,new_node_collision_count,random_new_node_collision_count,rewire_collision_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
57,add_node,random,49,59,0.1963610000020708,,,0,0,0,True,False,,,,best_parent=42,1.185283921736241,"[4.303779, 0.540523, 1.606107, -0.722709, 0.494303, 1.71924, 1.125697, 1.780419]","[5.615991, 0.77577, 2.482707, -0.931936, 0.975454, 2.211338, 1.978854, 2.558602]","[7.818758, 0.607089, 2.609974, -2.295934, 2.951813, -0.090297, 1.998997, 2.68515]"
58,add_node,random,11,60,0.20467540000390727,,,0,0,0,True,False,,,,best_parent=5,0.46624381983855,"[1.478027, 0.131094, 0.407433, -0.450853, 0.075293, 0.306264, -0.248444, 0.497434]","[2.473237, 0.140489, 1.11439, -0.54238, 0.831892, 0.553056, -0.442991, 0.897807]","[1.176759, -0.671707, 2.195201, 1.665431, 2.986109, -0.43409, -1.751092, 2.215804]"
59,add_node,random,36,61,0.20769540000037523,,,0,0,0,True,False,,,,best_parent=26,0.8384218148085392,"[4.26369, 0.378898, 0.170879, -0.206232, 0.654997, 0.343639, -0.445318, 0.859489]","[4.920259, 0.393333, 0.275235, 0.415729, 0.842137, 0.153255, -0.675076, 1.198812]","[6.308631, 0.585002, 1.257277, 2.378667, 1.852316, -1.003122, -1.593082, 0.113634]"
60,add_node,random,41,62,0.21375430000625784,,,0,0,0,True,False,,,,best_parent=2,0.4039565125580438,"[0.363906, 0.05941, 0.186547, -0.046001, 0.052672, 0.186547, 0.157022, 0.186482]","[1.713147, 0.196674, 0.915193, -0.798266, 0.581781, 0.956688, -0.67212, -0.194883]","[1.421052, -0.05549, 0.871499, -1.365388, 0.906764, 1.678563, -1.889146, -1.892382]"
61,add_node,random,46,63,0.21781280000141123,,,0,0,0,True,False,,,,best_parent=23,0.9378119332211956,"[3.460877, 0.39912, 1.074401, -0.648364, 0.711685, 0.873447, 0.25771, 1.180488]","[4.854361, 0.596657, 1.961236, -0.850527, 0.713433, 1.98086, 0.996842, 1.848473]","[7.287289, 0.52867, 3.116084, -1.843953, 2.065776, 2.495975, -1.816279, 0.840874]"
62,add_node,random,22,64,0.22230400000262307,,,0,0,0,True,False,,,,best_parent=0,0.21446770189208814,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.171346, 0.170927, -0.16916, 0.743365, 0.551563, 0.282691, 0.356087, -0.644417]","[0.678359, 0.674314, -0.661662, 1.051813, 1.863592, 0.843842, 1.484844, -0.985181]"
63,add_node,random,12,65,0.22888570000213804,,,0,0,0,True,False,,,,best_parent=5,0.49258253098259436,"[1.478027, 0.131094, 0.407433, -0.450853, 0.075293, 0.306264, -0.248444, 0.497434]","[2.656754, 0.20255, 1.266282, -1.023261, 0.127646, 0.159837, -0.666944, 1.011965]","[0.567358, -0.059445, 3.027, -2.036422, -1.543551, -2.43047, -2.530072, 2.078381]"
64,add_node,goal_bias,57,66,0.23145100000692764,,,0,0,0,True,False,,,,best_parent=57,1.4160527642382406,"[5.835304, 0.926841, 2.895771, -0.766079, 0.824132, 2.913784, 2.401438, 2.9226]","[6.090558, 0.991228, 3.110714, -0.773307, 0.879104, 3.112874, 2.614061, 3.112964]","[6.125336, 1.0, 3.14, -0.774292, 0.886594, 3.14, 2.643031, 3.1389]"
64,connect_goal,,65,66,0.2316705000048387,,,0,0,0,True,False,,,,periodic_goal_connected,1.426952581867227,"[6.090558, 0.991228, 3.110714, -0.773307, 0.879104, 3.112874, 2.614061, 3.112964]","[6.125336, 1.0, 3.14, -0.774292, 0.886594, 3.14, 2.643031, 3.1389]",
65,add_node,random,45,67,0.2402049000011175,,,0,0,0,True,False,,,,best_parent=0,0.274706649092194,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.641219, -0.244001, -0.72574, 0.454686, -0.198377, 0.789576, 0.244415, -0.820599]","[3.381741, -0.231552, -1.319608, 2.049704, -1.994589, 0.808896, 0.469015, -2.679795]"
